iter	MultiClass
320	0.4440250856
321	0.4436867878
322	0.443247325
323	0.4428466802
324	0.4425156454
325	0.4422490961
326	0.4418317116
327	0.4414695606
328	0.4411597506
329	0.440855068
330	0.4405239536
331	0.4400533906
332	0.4396252438
333	0.4392355516
334	0.4388583148
335	0.4384296913
336	0.4379939788
337	0.4376732505
338	0.4372094971
339	0.4367480893
340	0.4364076053
341	0.4358172545
342	0.4354338367
343	0.4350840958
344	0.4345943653
345	0.4343511452
346	0.4339027698
347	0.4334554181
348	0.4328579111
349	0.4324469243
350	0.4320164231
351	0.4314685567
352	0.4310409393
353	0.4307500617
354	0.4302399005
355	0.4298518258
356	0.4294677724
357	0.4290092009
358	0.4284603117
359	0.4281772958
360	0.4279318582
361	0.4275688513
362	0.4271810826
363	0.4266616762
364	0.4263465757
365	0.4259915659
366	0.4255723395
367	0.4251772113
368	0.4249788053
369	0.4245619603
370	0.4240421595
371	0.4238172036
372	0.4233873079
373	0.4229396971
374	0.4226298453
375	0.4222297082
376	0.421806448
377	0.4215504091
378	0.4211756481
379	0.4208421508
380	0.420474641
381	0.4202061917
382	0.4198606591
383	0.4194259388
384	0.4190399768
385	0.4187145435
386	0.4184344817
387	0.418049391
388	0.417750428
389	0.4174134935
390	0.4171557238
391	0.4167267135
392	0.4165257819
393	0.4161830108
394	0.4158661063
395	0.415517416
396	0.4152516306
397	0.4150050578
398	0.4147024333
399	0.4142768334
400	0.4140202028
401	0.4137460755
402	0.4132469082
403	0.4130293152
404	0.4126453047
405	0.4121637823
406	0.4119407327
407	0.4116538467
408	0.4112161605
409	0.4107194327
410	0.4103853876
411	0.4100006904
412	0.4097377795
413	0.4093172559
414	0.4089863772
415	0.4086415054
416	0.4080687428
417	0.407707438
418	0.407388314
419	0.4071307482
420	0.4067132765
421	0.4063599947
422	0.4058482529
423	0.4054659742
424	0.4052214046
425	0.4048772851
426	0.4045513044
427	0.40436741
428	0.4040749162
429	0.403755846
430	0.4034598369
431	0.4030636199
432	0.4025846959
433	0.4022101886
434	0.4020578742
435	0.4016814732
436	0.4014443132
437	0.4008731126
438	0.4005914571
439	0.4003037042
440	0.3999564598
441	0.3995216692
442	0.3993232772
443	0.3990214739
444	0.3986767154
445	0.398471192
446	0.3982922721
447	0.3980222387
448	0.3977311672
449	0.3974185593
450	0.3971612938
451	0.3967210493
452	0.3963449836
453	0.3961165308
454	0.3956807252
455	0.3954298621
456	0.395137089
457	0.3949216591
458	0.3946565199
459	0.3944298921
460	0.3942175143
461	0.393942949
462	0.393544928
463	0.3932287581
464	0.3928779604
465	0.3925664442
466	0.3923922024
467	0.3921098781
468	0.3915373444
469	0.3911821301
470	0.3907481601
471	0.3901593418
472	0.3898374609
473	0.3894774576
474	0.3891513545
475	0.3887877188
476	0.3884227093
477	0.3881731219
478	0.3877976925
479	0.3874070984
480	0.3871159782
481	0.3868394108
482	0.3865941876
483	0.3863068033
484	0.3861225736
485	0.3858923738
486	0.385495317
487	0.3853738651
488	0.385039252
489	0.3848190627
490	0.3845750642
491	0.3843191604
492	0.3839358464
493	0.383781987
494	0.3835531416
495	0.3832382552
496	0.3829719303
497	0.3827924241
498	0.3823828533
499	0.382158442
500	0.3819518596
501	0.3816847524
502	0.381434256
503	0.3811750199
504	0.3809532296
505	0.3806981408
506	0.3803731167
507	0.3799971509
508	0.3797754096
509	0.3795144549
510	0.3792898397
511	0.3789747969
512	0.378774891
513	0.3785605207
514	0.3783584115
515	0.3781112313
516	0.3777714059
517	0.377418112
518	0.3770422919
519	0.3767513867
520	0.3764672286
521	0.3762101378
522	0.3759510449
523	0.3756791774
524	0.3753629933
525	0.3750394136
526	0.3747409617
527	0.374595145
528	0.3743335836
529	0.3739816238
530	0.3737113361
531	0.3734212636
532	0.3732486514
533	0.3730046468
534	0.3727764353
535	0.3724762463
536	0.3721528021
537	0.3718478033
538	0.371666115
539	0.3713522124
540	0.371084621
541	0.3708166425
542	0.3705009567
543	0.3702614364
544	0.3699267731
545	0.3696369711
546	0.3693417764
547	0.3690828548
548	0.3688435541
549	0.3686322056
550	0.3683032652
551	0.3680636538
552	0.3677585048
553	0.3675159695
554	0.3673460039
555	0.36707851
556	0.3668951607
557	0.3667063649
558	0.3661388633
559	0.3659006774
560	0.365720886
561	0.3654011348
562	0.3650656683
563	0.3647772012
564	0.3645297408
565	0.3642599398
566	0.3639450018
567	0.3635193479
568	0.3631961249
569	0.362796193
570	0.3624875764
571	0.3621822839
572	0.361851808
573	0.3615621619
574	0.361372645
575	0.361040839
576	0.3608351869
577	0.3606132948
578	0.3603883358
579	0.3599628858
580	0.3597760911
581	0.3594723177
582	0.3593187786
583	0.358970528
584	0.3587365468
585	0.3584150383
586	0.3580167153
587	0.3578056442
588	0.3575998148
589	0.3573612602
590	0.3570763745
591	0.3567218987
592	0.3564163813
593	0.3562104664
594	0.3560868115
595	0.3558871268
596	0.3557420814
597	0.3555969876
598	0.3553591785
599	0.3552591125
600	0.3550267669
601	0.3546450782
602	0.3544317275
603	0.3542018629
604	0.3539782814
605	0.3537432461
606	0.3534315462
607	0.3531521901
608	0.3529339789
609	0.3526712843
610	0.3524567608
611	0.3521896864
612	0.351913598
613	0.3515818125
614	0.3513201753
615	0.3510778321
616	0.3509125002
617	0.3505479378
618	0.3502201291
619	0.3499633054
620	0.3497290549
621	0.349305338
622	0.3490868041
623	0.3487667299
624	0.3484752245
625	0.3481692214
626	0.3479671367
627	0.3477664553
628	0.3476016919
629	0.3473187711
630	0.3471012693
631	0.3469035528
632	0.3466777035
633	0.3464074565
634	0.3462235657
635	0.3460048158
636	0.345761336
637	0.3455411039
638	0.3453607252
639	0.3451481492
640	0.3450111218
641	0.3447568706
642	0.3444924298
643	0.3442233838
644	0.3440116999
645	0.343704298
646	0.343429242
647	0.3430831874
648	0.3428026624
649	0.3426426186
650	0.3424046657
651	0.3420517615
652	0.3418277696
653	0.3416857692
654	0.3414478536
655	0.3412845276
656	0.3410402899
657	0.3408487249
658	0.3406268555
659	0.3403656829
660	0.3401099083
661	0.3398684267
662	0.3396716282
663	0.3394818221
664	0.3392516088
665	0.339123251
666	0.3389214889
667	0.3386343636
668	0.3384156489
669	0.338216017
670	0.3378913417
671	0.3375379109
672	0.3373490087
673	0.3371528374
674	0.3369864716
675	0.3366382642
676	0.3363402437
677	0.3361093682
678	0.3358120681
679	0.335657363
680	0.3353675445
681	0.3352265642
682	0.3349927202
683	0.33474122
684	0.334504251
685	0.3342642607
686	0.3340430077
687	0.3337778653
688	0.3335426588
689	0.3334015958
690	0.3332828155
691	0.3331248319
692	0.3329912771
693	0.3328144408
694	0.3326564456
695	0.3323940564
696	0.3322472904
697	0.3319655254
698	0.331782855
699	0.3315532387
700	0.3312859314
701	0.3311329106
702	0.3309483725
703	0.3307337747
704	0.3305205164
705	0.3302249339
706	0.3301248276
707	0.3297798199
708	0.3296110803
709	0.329380841
710	0.3291802947
711	0.3290219657
712	0.3288985858
713	0.3286755573
714	0.3284577566
715	0.3282392158
716	0.3280559085
717	0.3279341917
718	0.3277170313
719	0.3274281681
720	0.3271553482
721	0.3269683161
722	0.3268439354
723	0.3266262959
724	0.3264090109
725	0.3260946071
726	0.3259118454
727	0.3257506628
728	0.3255697689
729	0.3253220395
730	0.3250090174
731	0.3247606764
732	0.3246175384
733	0.3244256
734	0.3241585267
735	0.3240098415
736	0.3238434702
737	0.3237313567
738	0.323518142
739	0.3232553756
740	0.3230647854
741	0.3228284822
742	0.3226413985
743	0.32248404
744	0.3222299268
745	0.3220856018
746	0.3218907193
747	0.3216871837
748	0.3213950945
749	0.3211927645
750	0.3210439549
751	0.3208913849
752	0.3206808193
753	0.3205348077
754	0.3202887236
755	0.320103936
756	0.3197494638
757	0.3196148193
758	0.3194691095
759	0.3192874101
760	0.3191107514
761	0.3189021542
762	0.3187760676
763	0.3186651193
764	0.3184541173
765	0.3181149113
766	0.3179185425
767	0.3177258664
768	0.3174558432
769	0.3173623331
770	0.3170847131
771	0.3168135398
772	0.3166213279
773	0.3163379608
774	0.3159455407
775	0.3157268197
776	0.3155331374
777	0.3152731009
778	0.3150242386
779	0.314823421
780	0.3146196294
781	0.3144476677
782	0.3141935986
783	0.3139684072
784	0.3138232532
785	0.3135957846
786	0.3133003541
787	0.3130467595
788	0.3127665174
789	0.3125821449
790	0.3123917427
791	0.3122454668
792	0.3119104686
793	0.3117155874
794	0.3115103294
795	0.3112464928
796	0.3110152238
797	0.3108677488
798	0.3105945655
799	0.310451951
800	0.3103418182
801	0.310178461
802	0.3100034552
803	0.3098476275
804	0.3096300953
805	0.3095216196
806	0.3093541424
807	0.3090816966
808	0.3088829535
809	0.3087006037
810	0.3085400608
811	0.3083901896
812	0.3082613551
813	0.3080716312
814	0.3079287873
815	0.307752203
816	0.3076137752
817	0.3074751792
818	0.3072751628
819	0.3071447965
820	0.3069725784
821	0.30681305
822	0.3065892936
823	0.3064058724
824	0.3063091723
825	0.3061162917
826	0.305922264
827	0.3057292161
828	0.3054934085
829	0.3053082136
830	0.3051523535
831	0.304916274
832	0.3047917322
833	0.3046454181
834	0.3045242748
835	0.3043653268
836	0.3041921106
837	0.3040729062
838	0.3038553912
839	0.3036400849
840	0.3034921122
841	0.3033025626
842	0.3031824807
843	0.303021964
844	0.302886998
845	0.3027123166
846	0.3025929703
847	0.302425975
848	0.3021541742
849	0.3020172082
850	0.3018300798
851	0.3016766572
852	0.3014936989
853	0.3013031181
854	0.3011698315
855	0.3010105688
856	0.300796924
857	0.3007077232
858	0.3005690856
859	0.3004637667
860	0.3001380098
861	0.2999639772
862	0.2996640108
863	0.2994277596
864	0.2992709188
865	0.2991294145
866	0.2990042742
867	0.2988340224
868	0.2987334017
869	0.2985180328
870	0.2982035265
871	0.2979617564
872	0.2977775932
873	0.2975465583
874	0.2974126838
875	0.2971849292
876	0.2969886085
877	0.2967702413
878	0.2964791024
879	0.296367007
880	0.2961616722
881	0.2960068254
882	0.2959065942
883	0.2957441945
884	0.2955902497
885	0.2953712835
886	0.2951808981
887	0.2950711412
888	0.2947933208
889	0.294611848
890	0.2944243792
891	0.2942572122
892	0.2941609871
893	0.2939272512
894	0.2938440262
895	0.2936891034
896	0.2934187487
897	0.2932253174
898	0.2930770896
899	0.2928838006
900	0.2927922912
901	0.2926055804
902	0.292438993
903	0.2923336848
904	0.2921870105
905	0.2920321505
906	0.2919245734
907	0.2917171652
908	0.2915578502
909	0.2913709035
910	0.2912611335
911	0.2911356205
912	0.2910116639
913	0.2908730319
914	0.2907335058
915	0.2904079035
916	0.2901596998
917	0.2900545111
918	0.2896838665
919	0.2895440348
920	0.2893868127
921	0.2892703775
922	0.2891190219
923	0.28897427
924	0.2886310887
925	0.2884635142
926	0.2883224294
927	0.2882129773
928	0.2880711949
929	0.2879316426
930	0.2877868317
931	0.2876097492
932	0.2875334227
933	0.2873698314
934	0.2872099811
935	0.2869249894
936	0.2867700106
937	0.2866347491
938	0.2865160769
939	0.2863804144
940	0.2862253597
941	0.2860131303
942	0.2858715887
943	0.2856777791
944	0.2854641294
945	0.2852706933
946	0.2850452539
947	0.2848305567
948	0.284689428
949	0.2844801709
950	0.2843551899
951	0.2841730157
952	0.2839220234
953	0.2836697899
954	0.2834901907
955	0.2833465061
956	0.2831245753
957	0.2828682737
958	0.2827031305
959	0.2825157782
960	0.2823888945
961	0.2822818584
962	0.2821359596
963	0.2819840538
964	0.2818687292
965	0.2817922935
966	0.2816828824
967	0.2815059821
968	0.2813712184
969	0.2812599205
970	0.2811352063
971	0.2810006863
972	0.2808211659
973	0.2806428315
974	0.2805395503
975	0.2803213045
976	0.2802295233
977	0.2800633332
978	0.2799182696
979	0.279789014
980	0.2796179217
981	0.2794581761
982	0.2792863611
983	0.2791479308
984	0.2789976382
985	0.2788398205
986	0.2786838904
987	0.2784706977
988	0.2783052041
989	0.2782298649
990	0.2780713965
991	0.2778156305
992	0.2776274109
993	0.2774639766
994	0.2772468144
995	0.2771140716
996	0.2770137455
997	0.2767757904
998	0.2766554156
999	0.2764959048
