iter	Passed	Remaining
422	3748	5113
423	3758	5105
424	3767	5097
425	3777	5090
426	3788	5083
427	3798	5076
428	3808	5069
429	3818	5061
430	3827	5053
431	3837	5044
432	3847	5037
433	3859	5032
434	3869	5025
435	3878	5017
436	3888	5009
437	3896	5000
438	3905	4991
439	3914	4982
440	3923	4973
441	3932	4964
442	3941	4955
443	3950	4946
444	3959	4938
445	3968	4929
446	3976	4919
447	3985	4910
448	3993	4901
449	4002	4891
450	4013	4885
451	4022	4876
452	4030	4867
453	4040	4859
454	4050	4851
455	4059	4842
456	4067	4833
457	4077	4824
458	4085	4815
459	4094	4806
460	4103	4797
461	4112	4788
462	4120	4779
463	4130	4771
464	4138	4761
465	4147	4752
466	4155	4743
467	4164	4733
468	4173	4724
469	4181	4715
470	4190	4706
471	4198	4697
472	4207	4687
473	4216	4678
474	4224	4668
475	4232	4659
476	4240	4649
477	4249	4640
478	4257	4630
479	4266	4622
480	4274	4612
481	4283	4602
482	4291	4593
483	4300	4584
484	4308	4575
485	4316	4565
486	4326	4556
487	4334	4547
488	4344	4540
489	4353	4531
490	4361	4521
491	4369	4511
492	4377	4502
493	4385	4492
494	4394	4483
495	4402	4473
496	4410	4464
497	4419	4455
498	4428	4445
499	4436	4436
500	4444	4426
501	4452	4416
502	4460	4407
503	4471	4400
504	4479	4391
505	4488	4381
506	4496	4372
507	4504	4362
508	4512	4352
509	4521	4343
510	4529	4334
511	4537	4325
512	4546	4316
513	4559	4310
514	4567	4301
515	4576	4292
516	4589	4287
517	4598	4279
518	4608	4270
519	4618	4263
520	4627	4254
521	4636	4246
522	4645	4237
523	4656	4229
524	4664	4220
525	4674	4212
526	4683	4203
527	4694	4196
528	4703	4188
529	4712	4179
530	4721	4170
531	4732	4162
532	4741	4154
533	4750	4145
534	4759	4136
535	4768	4128
536	4779	4121
537	4791	4114
538	4800	4106
539	4809	4097
540	4821	4090
541	4830	4082
542	4840	4073
543	4848	4064
544	4857	4055
545	4867	4046
546	4875	4037
547	4884	4028
548	4892	4019
549	4901	4010
550	4909	4000
551	4918	3991
552	4927	3982
553	4936	3973
554	4944	3964
555	4953	3955
556	4962	3946
557	4971	3937
558	4979	3928
559	4989	3920
560	4999	3912
561	5009	3904
562	5018	3895
563	5027	3886
564	5036	3878
565	5047	3869
566	5057	3862
567	5067	3854
568	5078	3846
569	5088	3838
570	5097	3829
571	5106	3821
572	5116	3812
573	5124	3803
574	5133	3794
575	5142	3785
576	5152	3777
577	5160	3767
578	5169	3758
579	5178	3749
580	5186	3740
581	5195	3731
582	5203	3722
583	5212	3712
584	5221	3704
585	5229	3694
586	5238	3685
587	5246	3676
588	5256	3667
589	5264	3658
590	5273	3649
591	5282	3640
592	5290	3631
593	5299	3622
594	5307	3612
595	5316	3603
596	5325	3594
597	5333	3585
598	5342	3576
599	5350	3566
600	5358	3557
601	5367	3548
602	5376	3539
603	5384	3530
604	5392	3521
605	5401	3511
606	5409	3502
607	5418	3493
608	5427	3484
609	5436	3475
610	5448	3468
611	5457	3460
612	5466	3451
613	5476	3442
614	5487	3435
615	5498	3427
616	5508	3419
617	5517	3410
618	5526	3401
619	5534	3392
620	5543	3383
621	5551	3374
622	5560	3364
623	5568	3355
624	5577	3346
625	5586	3337
626	5594	3328
627	5603	3319
628	5611	3310
629	5620	3300
630	5629	3291
631	5637	3282
632	5646	3273
633	5655	3264
634	5663	3255
635	5671	3246
636	5679	3236
637	5688	3227
638	5696	3218
639	5704	3208
640	5713	3199
641	5721	3190
642	5729	3181
643	5738	3172
644	5746	3162
645	5754	3153
646	5763	3144
647	5771	3135
648	5779	3125
649	5788	3116
650	5796	3107
651	5804	3098
652	5813	3089
653	5821	3079
654	5829	3070
655	5838	3061
656	5846	3052
657	5854	3043
658	5863	3033
659	5871	3024
660	5879	3015
661	5887	3006
662	5896	2997
663	5904	2987
664	5912	2978
665	5921	2969
666	5929	2960
667	5938	2951
668	5946	2942
669	5954	2932
670	5962	2923
671	5971	2914
672	5981	2906
673	5991	2898
674	6000	2889
675	6009	2880
676	6017	2870
677	6025	2861
678	6034	2852
679	6042	2843
680	6050	2834
681	6059	2825
682	6067	2816
683	6076	2807
684	6085	2798
685	6093	2789
686	6102	2780
687	6110	2771
688	6118	2761
689	6127	2753
690	6136	2743
691	6144	2734
692	6153	2725
693	6162	2717
694	6171	2708
695	6180	2699
696	6189	2690
697	6198	2681
698	6208	2673
699	6220	2666
700	6230	2657
701	6238	2648
702	6247	2639
703	6255	2630
704	6265	2621
705	6274	2613
706	6282	2603
707	6291	2594
708	6299	2585
709	6307	2576
710	6316	2567
711	6324	2558
712	6332	2549
713	6341	2540
714	6349	2530
715	6358	2521
716	6366	2512
717	6374	2503
718	6383	2494
719	6391	2485
720	6400	2476
721	6408	2467
722	6416	2458
723	6425	2449
724	6433	2440
725	6441	2431
726	6450	2422
727	6458	2413
728	6470	2405
729	6479	2396
730	6490	2388
731	6498	2379
732	6509	2371
733	6521	2363
734	6530	2354
735	6539	2345
736	6548	2336
737	6557	2328
738	6566	2319
739	6575	2310
740	6583	2301
741	6592	2292
742	6600	2283
743	6609	2274
744	6617	2265
745	6627	2256
746	6635	2247
747	6644	2238
748	6652	2229
749	6660	2220
750	6669	2211
751	6677	2202
752	6685	2193
753	6693	2183
754	6702	2174
755	6710	2165
756	6719	2156
757	6727	2147
758	6736	2138
759	6744	2129
760	6752	2120
761	6761	2111
762	6769	2102
763	6778	2093
764	6786	2084
765	6794	2075
766	6803	2066
767	6811	2057
768	6820	2048
769	6828	2039
770	6836	2030
771	6845	2021
772	6853	2012
773	6862	2003
774	6870	1994
775	6878	1985
776	6886	1976
777	6895	1967
778	6903	1958
779	6911	1949
780	6920	1940
781	6928	1931
782	6936	1922
783	6945	1913
784	6953	1904
785	6962	1895
786	6971	1886
787	6980	1877
788	6989	1869
789	6997	1860
790	7005	1851
791	7014	1842
792	7022	1833
793	7030	1824
794	7039	1815
795	7048	1806
796	7057	1797
797	7065	1788
798	7074	1779
799	7082	1770
800	7091	1761
801	7099	1752
802	7107	1743
803	7116	1734
804	7124	1725
805	7132	1716
806	7141	1707
807	7149	1698
808	7157	1689
809	7166	1680
810	7174	1672
811	7183	1663
812	7191	1654
813	7200	1645
814	7208	1636
815	7216	1627
816	7225	1618
817	7234	1609
818	7242	1600
819	7251	1591
820	7259	1582
821	7267	1573
822	7276	1564
823	7285	1556
824	7293	1547
825	7302	1538
826	7312	1529
827	7323	1521
828	7332	1512
829	7341	1503
830	7351	1495
831	7360	1486
832	7368	1477
833	7378	1468
834	7387	1459
835	7395	1450
836	7404	1441
837	7412	1432
838	7421	1424
839	7430	1415
840	7439	1406
841	7447	1397
842	7456	1388
843	7465	1379
844	7476	1371
845	7484	1362
846	7493	1353
847	7501	1344
848	7510	1335
849	7519	1326
850	7527	1318
851	7536	1309
852	7544	1300
853	7553	1291
854	7561	1282
855	7569	1273
856	7578	1264
857	7586	1255
858	7595	1246
859	7604	1237
860	7612	1228
861	7620	1220
862	7628	1211
863	7637	1202
864	7645	1193
865	7654	1184
866	7662	1175
867	7671	1166
868	7679	1157
869	7688	1148
870	7696	1139
871	7706	1131
872	7715	1122
873	7724	1113
874	7732	1104
875	7741	1095
876	7751	1087
877	7760	1078
878	7770	1069
879	7780	1061
880	7794	1052
881	7803	1043
882	7813	1035
883	7826	1027
884	7835	1018
885	7845	1009
886	7855	1000
887	7864	991
888	7873	983
889	7882	974
890	7892	965
891	7901	956
892	7910	947
893	7920	939
894	7929	930
895	7939	921
896	7949	912
897	7958	904
898	7969	895
899	7979	886
900	7990	878
901	8000	869
902	8009	860
903	8018	851
904	8027	842
905	8036	833
906	8045	824
907	8054	816
908	8063	807
909	8072	798
910	8081	789
911	8090	780
912	8098	771
913	8107	762
914	8115	753
915	8124	744
916	8132	736
917	8141	727
918	8150	718
919	8158	709
920	8167	700
921	8176	691
922	8185	682
923	8193	673
924	8202	665
925	8211	656
926	8220	647
927	8228	638
928	8238	629
929	8247	620
930	8255	611
931	8264	602
932	8272	594
933	8281	585
934	8290	576
935	8299	567
936	8307	558
937	8315	549
938	8324	540
939	8333	531
940	8341	523
941	8350	514
942	8359	505
943	8367	496
944	8375	487
945	8384	478
946	8392	469
947	8401	460
948	8410	451
949	8418	443
950	8426	434
951	8435	425
952	8444	416
953	8454	407
954	8464	398
955	8475	390
956	8485	381
957	8498	372
958	8507	363
959	8516	354
960	8529	346
961	8538	337
962	8547	328
963	8556	319
964	8565	310
965	8575	301
966	8584	292
967	8593	284
968	8603	275
969	8611	266
970	8620	257
971	8629	248
972	8637	239
973	8647	230
974	8660	222
975	8669	213
976	8678	204
977	8686	195
978	8696	186
979	8704	177
980	8713	168
981	8722	159
982	8731	150
983	8739	142
984	8748	133
985	8757	124
986	8766	115
987	8774	106
988	8783	97
989	8792	88
990	8800	79
991	8809	71
992	8817	62
993	8826	53
994	8835	44
995	8843	35
996	8852	26
997	8861	17
998	8869	8
999	8878	0
